,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
1103,Nepal College of Development Studies,"Ganeshmarg, Shankhamul, Kathmandu",Tribhuvan University,"Bachelor of Arts in Rural Development
        (BRD)",private Institution,,
1104,Rapti Vidhyamandir Management College,"Tulsipur, Dang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1105,Bal Jagritee College,"Mahendranagar, Aithpur-6, Mahendranagar, Bhimdatta, Kanchanpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",private Institution,,
1106,Presidency College of Management Sciences,"Bharatpur-10, Bharatpur, Chitwan",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)",private Institution,,
1107,"Amity College, Mahendranagar","Mahendranagar, Bhimdatta, Kanchanpur",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Health Care Management
        (BHCM)
 Master of Business Administration
        (MBA)",private Institution,,
1108,Birendra Memorial College,"Dharan-4, Bhupi Marga, Dharan, Sunsari",Tribhuvan University,"BSc Microbiology
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)
 BSc Computer Science and Information Technology
        (BSc CSIT)",private Institution,,
1109,Polygon College,"Babarmahal, Kathmandu",Purbanchal University,"MA in Mass Communication and Journalism
        (MAMCJ)",private Institution,,
1110,Model Campus Damak,"Damak-10, Model Chowk, Damak, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1111,Amity College Jhapa,"Birtamode-6, Mitranagaar, Birtamod, Birtamode, Jhapa",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)",private Institution,,
1112,Model Multiple College,"Janakpur, Dhanusha",National Examinations Board,"Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Master of Business Studies
        (MBS)
 PCL in General Medicine-Health Assistant
        (HA)
 Certificate in Medical Laboratory Technology
        (CMLT)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Science (General)
        (BSc)
 Bachelor of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Education
        (BEd)",private Institution,,
1113,Nobel College,"Sinamangal, Kathmandu",Pokhara University,"​Bachelor of Nursing Science in Oncology
 Bachelor of Business Administration
        (BBA)
 Bachelor of Computer Information Systems
        (BCIS)
 Bachelor of Health Care Management
        (BHCM)
 BSc Medical Laboratory Technology
        (BSCMLT)
 BSc Medical Microbiology
 BSc Medical Biochemistry
 Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Public Health
        (BPH)
 BSc Nursing
 Master of Public Health
        (MPH)
 Diploma in Pharmacy
 BBA in Banking and Insurance
        (BBA-BI)",private Institution,,
1114,"Lord Buddha College, Biratnagar","Shahi Marga, Biratnagar-10, Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",private Institution,,
1115,Lincoln International College of Management and IT,"Putalisadak (near Kumari QFX), Kathmandu",Lincoln University College,"Bachelor (Hons) of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)",private Institution,,
1116,Lincoln International College of Management and IT,"Putalisadak (near Kumari QFX), Kathmandu",Lincoln University College,"Bachelor (Hons) of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)",private Institution,,
1117,​Sungava College,"Khairahani-6, Bharatpur, Khairahani, Chitwan",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1118,Hetauda School of Management,"Hetauda-4, Hetauda, Makwanpur",National Examinations Board,"Bachelor of Information Management
        (BIM)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 MA in Population Studies
 Master of Business Studies
        (MBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1119,Sainik Awasiya Mahavidyalaya Bhaktapur,"Sallaghari, Bhaktapur",National Examinations Board,"Bachelor of Business Administration
        (BBA)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Science
        (+2 Science)
 BSc Microbiology",private Institution,,
1120,Welhams College,"Buddhanagar, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)",private Institution,,
1121,Acme Engineering College,"Sitapaila Chowk, Kathmandu",Purbanchal University,"MSc in Engineering Management
 MSc in Information System Engineering
 Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Computer Engineering
 Bachelor of Architecture
        (B.Arch)",private Institution,,
1122,Acme Engineering College,"Sitapaila Chowk, Kathmandu",Purbanchal University,"MSc in Engineering Management
 MSc in Information System Engineering
 Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Computer Engineering
 Bachelor of Architecture
        (B.Arch)",private Institution,,
1123,Nicholson College,"Sallaghari, Bhaktapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Master of Business Studies
        (MBS)",private Institution,,
1124,Swarnim Deukhuri Campus,"Lamahi, Dang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1125,Nimble College,"Kohalpur-11, Golpark, New Road, Kohalpur, Nepalgunj, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1126,Rolwaling College,"Kumaripati, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1127,Vijayapur College,"Dharan-14, Dharan, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1128,Depot Adarsha Multiple Campus,"Ghopa Camp, Dharan, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1129,Himchuli College,"Kumaripati, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1130,Aastha College,"Damak, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1131,Providence College of Management,"Charpane, Birtamode, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1132,Mark International College,"Ghorahi-11, Ghorahi, Dang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",private Institution,,
1133,Dang Valley College,"Ghorahi, Dang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1134,Nepalgunj Bahumukhi Campus,"Surkhet Road, Nepalgunj, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1135,Nepalgunj Bahumukhi Campus,"Surkhet Road, Nepalgunj, Banke",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1136,Universal Modern College,"Sallaghari, Bhaktapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1137,Chanakya College of Management,"Madhyapur, Thimi, Madhyapur Thimi, Bhaktapur",Tribhuvan University,"Master of Business Studies
        (MBS)
 Bachelor of Business Studies
        (BBS)",private Institution,,
1138,Lumbini Academic College,"Chuchchepati, Chabhil, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
1139,Ambition College,"Old Baneshwor, Kathmandu",Tribhuvan University,"Bachelor of Arts in Social Work
        (BASW)
 Master of Business Studies
        (MBS)
 BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)",private Institution,,
1140,Dipika Campus,"Banepa-10, Godam Chowk, Kavre, Banepa, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1141,Grammar College,"Setiopi Marga, Koteshwor, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1142,Gyanodaya College,"Sanepa, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1143,KU City College,"Saraswatinagar,, Chabahil, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",private Institution,,
1144,Jaya Multiple Campus,"Gokarneshwor, Makalbari, Gokarneshwar, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)
 Bachelor of Arts in Social Work
        (BASW)
 Master of Business Studies
        (MBS)",private Institution,,
1145,Rainbow International College,"Chhauni, Dallu, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1146,Rehdon College,"Samakhusi, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1147,Siddhartha Vanasthali College of Management,"Balaju, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1148,Kathmandu National College,"Koteshwor, Opposite of Bhatbhateni, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)",private Institution,,
1149,Canopy College,"Gorkaneshwor - 15, Attarkhel, Jorpati, Gokarneshwar, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1150,Birgunj College,"Shreepur-11, Birgunj, Parsa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1151,​Angels' Heart International College,"Tarkeshwor-10, Manamaiju, Tarakeshwor, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)",private Institution,,
1152,Surkhet Model College,"Birendranagar-8, Khajura, Birendranagar, Surkhet",Tribhuvan University,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 Bachelor of Hotel Management
        (BHM)
 Bachelor of Information Management
        (BIM)",private Institution,,
1153,Applied College of Management and Education,"Munalpath,, Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",private Institution,,
1154,Divya Gyan College,"Putalisadak-28, Kamaladi Mode, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1155,Itahari Namuna College,"Itahari, Sunsari",Tribhuvan University,"Bachelor of Hotel Management
        (BHM)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)",private Institution,,
1156,Everest International College,"Soaltee Mode, Kathmandu",Tribhuvan University,"Bachelor of Computer Application
        (BCA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Master of Business Studies
        (MBS)",private Institution,,
1157,AIMS International College,"Lagankhel, Lalitpur",Tribhuvan University,"Bachelor of Computer Application
        (BCA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)",private Institution,,
1158,NIMS College,"Prayagpokhari, Lagankhel, Lalitpur",Tribhuvan University,"Bachelor of Computer Application
        (BCA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Master of Business Studies
        (MBS)",private Institution,,
1159,Arniko Multiple Campus,"Talchikhel, Satdobato, Lalitpur",Tribhuvan University,"Bachelor of Computer Application
        (BCA)",private Institution,,
1160,Precious National College,"Mhepi, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",private Institution,,
1161,Valley Krishi Campus,"Godavari Municipality 11, Chapagaun, Godawari, Lalitpur",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1162,Purwanchal Agriculture Campus,"Beldangi, Gauradaha - 1, Gauradhaha, Jhapa",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1163,Bright Mid-Western Agriculture and Forestry Campus,"Birendranagar -6, Airport, Birendranagar, Surkhet",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1164,Jibika College of Agricultural Science,"Itahari-10, Itahari, Sunsari",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1165,Gorkha Polytechnic College and Research Center,"Baijanath-4, Kohalpur - 2, Kohalpur, Banke",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1166,Glacier International College,"Shantinagar, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)",private Institution,,
1167,Nepal Darshan College,"Urlabari-4, Urlabari, Uralabari, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1168,Innovative SS College,"Naya Thimi - 4, Madhyapur Thimi, Bhaktapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)",private Institution,,
1169,Swoyambhu International College,"Kanibahal, Lagankhel, Lalitpur",Tribhuvan University,"Master of Business Studies
        (MBS)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1170,Swoyambhu International College,"Kanibahal, Lagankhel, Lalitpur",Tribhuvan University,"Master of Business Studies
        (MBS)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1171,Yeti International College,"Buddhanagar, Baneshwar, Kathmandu",,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",private Institution,,
1172,Chhinnamasta College,"Kusunti, Mahalaxmi, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1173,Nilgiri College,"Itahari 05, Itahari, Sunsari",,Bachelor of Food Technology (BTech Food),private Institution,,
1174,Nepal Information Technology (NIT),"Jawalakhel, Lalitpur",Indira Gandhi National Open University,"Bachelor’s Degree Programme in Commerce
        (B.Com)
 Bachelor of Arts
        (BA)
 Bachelor in Computer Applications
        (BCA)
 Master of Business Administration
        (MBA)",private Institution,,
1175,Arya College,"Gaurinagar, Chabahil-7, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1176,Regional College of Health Science & Technology,"Nayabazar-9, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Certificate in Medical Laboratory Technology
        (CMLT)
 Certificate in Diagnostic Radiography",private Institution,,
1177,Regional College of Health Science & Technology,"Nayabazar-9, Pokhara, Pokhara Lekhnath, Kaski",Tribhuvan University,"Certificate in Medical Laboratory Technology
        (CMLT)
 Certificate in Diagnostic Radiography",private Institution,,
1178,Manaslu World College,"Chuchepati, Kathmandu, Kathmandu",,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Arts in Social Work
        (BASW)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Law
        (+2 Law)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",private Institution,,
1179,Manaslu World College,"Chuchepati, Kathmandu, Kathmandu",,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Arts in Social Work
        (BASW)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Law
        (+2 Law)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",private Institution,,
1180,Sowa Rigpa International College,"Aarubari, Gokarneshwor, Gokarneshwar, Kathmandu",Lumbini Buddhist University,Bachelor in Sowa Rigpa Medicine and Surgery,private Institution,,
1181,Sowa Rigpa International College,"Aarubari, Gokarneshwor, Gokarneshwar, Kathmandu",Lumbini Buddhist University,Bachelor in Sowa Rigpa Medicine and Surgery,private Institution,,
1182,Api Nampa Campus,"Byas, Darchula",Tribhuvan University,"Bachelor of Education
        (BEd)",private Institution,,
1183,Liberty College Dhankuta,Dhankuta,Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1184,Janaki College of Management,"Janakpur, Dhanusha",Purbanchal University,"Bachelor of Business Administration
        (BBA)",private Institution,,
1185,Sunapati Sahid Multiple Campus,"Bethan, Sunapati, Ramechhap",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",private Institution,,
1186,UN College,"Dharan, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Hotel Management
        (BHM)",private Institution,,
1187,Shree College of Management,"Shantinagar Gate, Kathmandu",ACCA,"ACCA
        (ACCA)
 Chartered Institute of Management Accountants
        (CIMA)",private Institution,,
1188,Southwestern Business College,"Dhapasi (Basundhara), Kathmandu",Purbanchal University,"Bachelor of Business Administration
        (BBA)",private Institution,,
1189,Republica College,"Kumaripati, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",private Institution,,
1190,East-Pole International College,"Jorpati, Gokarneshwar, Kathmandu",,"Bachelor of Business Studies
        (BBS)",private Institution,,
1191,"ISMT College, Biratnagar","Biratnagar, Morang",University of Sunderland,"BSc (Hons) Computer Systems Engineering
 BSc (Hons) International Tourism and Hospitality Management
        (BHM)",private Institution,,
1192,"ISMT College, Pokhara","Pokhara, Pokhara Lekhnath, Kaski",University of Sunderland,"BA (Hons) Business and Management
        (BBA)
 BSc (Hons) Computer Systems Engineering",private Institution,,
1193,"ISMT College, Chitwan","Bharatpur, Chitwan",University of Sunderland,"BSc (Hons) Computer Systems Engineering
 BSc (Hons) International Tourism and Hospitality Management
        (BHM)",private Institution,,
1194,Sterling Wells Education Group,"Tinkune, Kathmandu",ACCA,"ACCA
        (ACCA)",private Institution,,
1195,Himchhaya College,"Gaindakot, Parasi",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
1196,Gauri Shankar Brihat Shiksha Campus,Ramechhap,Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1197,Gauri Shankar Brihat Shiksha Campus,Ramechhap,Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1198,Training Institute for Technical Instruction,"Madhyapur Thimi-17, Bhaktapur",Council for Technical Education and Vocational Training,"Bachelor of Technical Education in Livestock
        (B.Tech Ed)
 Bachelor of Technical Education Plant Science
        (B.Tech.Ed.)",public Institution,"01-6630187, 01-6630409",info@titi.org.np
1199,Samata College,"Bouddha, Gokarneshwar, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",public Institution,01-4489954,centralsamata@gmail.com
1200,Sinja Multiple Campus,"Dhapa, Sinja, Jumla",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,9848302413,
1201,Krishna Baijanath Multiple Campus,"Jhalari, Shuklaphanta, Kanchanpur",,"Master of Business Studies
        (MBS)",public Institution,,
1202,Mahendra Multiple Campus Baglung,Baglung,Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 One year Bachelor of Education
        (BEd)
 MA in Sociology
 MA in Nepali
        (MA Nepali)",public Institution,977-68-520113,
1203,Gauri Campus Janakpur,"Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1204,Kusheshwar Bidhyapith Multiple Campus,"Kusheshwar, Sunkoshi, Sindhuli",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,047-690533,
1205,Tripureshwar Shiksha Campus,"Bahuntilpung-3, Bahuntilpung, Tinpatan, Sindhuli",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,047-690590,
1206,Tripureshwar Shiksha Campus,"Bahuntilpung-3, Bahuntilpung, Tinpatan, Sindhuli",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,047-690590,
1207,Siddha Devi Campus,"Pachthar, Panchthar",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,024-520304,
1208,Janasewa Multiple Campus,"Dhadhawar, Barbardiya, Bardiya",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)",public Institution,,
1209,Himjyoti Multiple Campus,"Sarkegad, Humla",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)",public Institution,,
1210,Kolma Barahachaur Samudayik Campus,"Kolma 6, Kolma, Putalibazar, Syangja",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1211,Aalamdevi Banijya Campus,"Kotakot, Mirmi, Kaligandagi, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1212,Sailung Campus,"Magapouwa, Sailung, Dolakha",Tribhuvan University,"Bachelor of Arts
        (BA)",public Institution,,
1213,Nikunj Madhyawati Multiple Campus,"Neulapur, Bardiya",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",public Institution,,
1214,Barahi College,"Damauli, Bayas-2, Damauli, Byas, Tanahun",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,065-561777,
1215,Butwal Kalika Campus,"Ramnagar, Rupandehi, Butwal-10, Butwal, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)",public Institution,071-543457,butwalkalikacampus@gmail.com
1216,Tilganga Institute of Ophthalmology,"Gaushala, Bagmati Bridge, Kathmandu",Pokhara University,"Diploma in Ophthalmic Science
 Master of Optometry
        (M Optom)",public Institution,"977-1- 4493775, 01-4493684",
1217,Ratna Jyoti Multiple Campus,"Maruhiti, Kathmandu",National Examinations Board,"Bachelor of Arts
        (BA)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)",public Institution,+977-1-4258145,
1218,Melung Campus,"Melung, Dolakha",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1219,Jwala Prasad Syo Wai Devi Murarka Campus,"Lahan, Siraha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",public Institution,033-560252,
1220,Rajarshi Janak Campus,"Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 One year Bachelor of Education
        (BEd)",public Institution,,
1221,Pioneers' Multiple Campus,"Waling, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1222,Tulasi Mehar College,Dhankuta,Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,026-520662,
1223,Mahesh sanskrit Gurukulam Vidhyapeeth,"Devghat, Devghat, Tanahun",Nepal Sanskrit University,"Acharya
 Shastri
 Uttar Madhyama",public Institution,056-620426,
1224,Mahesh sanskrit Gurukulam Vidhyapeeth,"Devghat, Devghat, Tanahun",Nepal Sanskrit University,"Acharya
 Shastri
 Uttar Madhyama",public Institution,056-620426,
1225,Shanti Aadarsha Campus,"Chaudhanpatan Byasi, Chaudhanpatan, Chabispathivera, Bajhang",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,092-690223,
1226,Saraswoti Sanskrit vidyapeeth,"Manigram, Tillotama, Rupandehi",Nepal Sanskrit University,"Uttar Madhyama
 Shastri",public Institution,,
1227,Shree Narayan Campus,"Ishowrpur, Ishworpur, Sarlahi",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",public Institution,9724652201,
1228,Ridi Multiple Campus,"Ridi Bazar, Ruru, Gulmi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1229,Sagarmatha College,"Mahananda Marga, Dharan-4, Dharan, Itahari, Sunsari",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)",public Institution,,
1230,Rapti Shiksha Campus,"Ghorai, Aanandapur, Ghorai, Ghorahi, Dang",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,"082-562304, 9847837497,",raptisikshacampus.dang@gmail.com
1231,Jana Gyan Niketan Campus,"Thanapati, Shivapuri, Nuwakot",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1232,Siddhartha College of Management,"Damak-12, Damak, Kamal, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1233,Shree Durga Campus,"Manara, Manra Siswa, Mahottari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1234,Shree Tribeni Aadarsh Multiple Campus,"Nijgadh, Bungal, Nijgadh, Bungal, Bajhang",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1235,Sun Shine College,"Bhairahawa, Siddharthanagar, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1236,Nav Kshitiz Campus,"Bardibas 8, Bardibas, Bardibas, Mahottari",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Computer Application
        (BCA)",public Institution,,
1237,Purwanchal College,"Damak-9, Damak, Gauradhaha, Jhapa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1238,Kaushiki Campus,"Janpath, Dharan, Sunsari",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1239,Kaushiki Campus,"Janpath, Dharan, Sunsari",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1240,Gadhimai Multiple Campus,"Gadhimai, Bariyarpur, Gadhimai, Mahagadhimai, Bara",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1241,Phulbari Campus,"Phulbari 5, Phulbari, Baitadi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1242,Hiralal Multiple Campus,"Thahiti, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)",public Institution,01-4226838,
1243,Prayageshwar Multiple Campus,"Pakarbas, Khadadevi, Ramechhap",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,048-690091,
1244,UNIV College,"Biratnagar, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1245,Sanskrit Vidyapeeth,"Dharan, Sunsari",Nepal Sanskrit University,Uttar Madhyama,public Institution,025-520716,
1246,Paramananda Sanskrit Gurukulam Vidyapeeth,"Devghat, Tanahun",Nepal Sanskrit University,Shastri,public Institution,,
1247,Bidhyanilakantha Campus,"Ghorahi, Dang",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",public Institution,,
